Airport_Code,Timezone,Ocorrencias
KJBR,US/Central,14
KJEF,US/Central,3
KJER,US/Mountain,11
KJFK,US/Eastern,567
KJFX,US/Central,17
KJFZ,US/Eastern,12
KJGG,US/Eastern,35
KJHW,US/Eastern,15
KJKJ,US/Central,2
KJLN,US/Central,4
KJMR,US/Central,13
KJMS,US/Central,5
KJNW,US/Pacific,31
KJNX,US/Eastern,44
KJOT,US/Central,80
KJQF,US/Eastern,533
KJRB,US/Eastern,421
KJST,US/Eastern,90
KJVL,US/Central,57
KJWY,US/Central,12
KJXN,US/Eastern,57
KJYG,US/Central,8
KJYL,US/Eastern,8
KJYM,US/Eastern,2
KJYO,US/Eastern,209
KJZI,US/Eastern,21
KK22,US/Eastern,4
KKLS,US/Pacific,60
KL35,US/Pacific,31
KL38,US/Central,47
KLAA,US/Mountain,6
KLAF,US/Eastern,24
KLAL,US/Eastern,30
KLAN,US/Eastern,92
KLAR,US/Mountain,14
KLAS,US/Pacific,11
KLAX,US/Pacific,123
KLBE,US/Eastern,132
KLBF,US/Central,4
KLBR,US/Central,3
KLBT,US/Eastern,8
KLBX,US/Central,9
KLCI,US/Eastern,36
KLCK,US/Eastern,82
KLCQ,US/Eastern,61
KLDJ,US/Eastern,504
KLEB,US/Eastern,15
KLEE,US/Eastern,64
KLEW,US/Eastern,11
KLEX,US/Eastern,132
KLFI,US/Eastern,86
KLFK,US/Central,3
KLFT,US/Central,147
KLGA,US/Eastern,1814
KLGB,US/Pacific,531
KLGC,US/Eastern,15
KLGD,US/Pacific,79
KLGU,US/Mountain,5
KLHM,US/Pacific,78
KLHQ,US/Eastern,34
KLHW,US/Eastern,9
KLHX,US/Mountain,8
KLHZ,US/Eastern,171
KLIC,US/Mountain,10
KLIT,US/Central,76
KLJF,US/Central,11
KLKR,US/Eastern,62
KLKU,US/Eastern,18
KLKV,US/Pacific,20
KLLQ,US/Central,9
KLMO,US/Mountain,29
KLMT,US/Pacific,145
KLNC,US/Central,37
KLNK,US/Central,15
KLNP,US/Eastern,5
KLNR,US/Central,2
KLNS,US/Eastern,774
KLOL,US/Pacific,2
KLOM,US/Eastern,1235
KLOR,US/Central,7
KLOT,US/Central,310
KLOU,US/Eastern,268
KLOZ,US/Eastern,4
KLPC,US/Pacific,22
KLPR,US/Eastern,31
KLQK,US/Eastern,89
KLRD,US/Central,2
KLRF,US/Central,19
KLRJ,US/Central,2
KLRO,US/Eastern,11
KLRU,US/Mountain,5
KLSE,US/Central,25
KLSF,US/Eastern,7
KLSV,US/Pacific,5
KLUA,US/Eastern,81
KLUF,US/Mountain,42
KLUK,US/Eastern,381
KLUM,US/Central,16
KLUX,US/Eastern,100
KLVJ,US/Central,15
KLVK,US/Pacific,483
KLVM,US/Mountain,50
KLVN,US/Central,104
KLVS,US/Mountain,5
KLWA,US/Eastern,17
KLWB,US/Eastern,6
KLWC,US/Central,3
KLWD,US/Central,2
KLWM,US/Eastern,243
KLWS,US/Pacific,3
KLWT,US/Mountain,9
KLWV,US/Central,2
KLXL,US/Central,30
KLXT,US/Central,254
KLXV,US/Mountain,21
KLYH,US/Eastern,61
KLYV,US/Central,18
KLZK,US/Central,28
KLZU,US/Eastern,127
KM16,US/Central,15
KM19,US/Central,4
KM30,US/Central,2
KM46,US/Mountain,17
KM89,US/Central,5
KMAE,US/Pacific,155
KMAI,US/Central,27
KMAN,US/Mountain,73
KMAO,US/Eastern,85
KMBS,US/Eastern,21
KMCC,US/Pacific,770
KMCE,US/Pacific,109
KMCF,US/Eastern,42
KMCI,US/Central,43
KMCJ,US/Central,1283
KMCN,US/Eastern,72
KMCO,US/Eastern,534
KMCW,US/Central,8
KMDD,US/Central,2
KMDQ,US/Central,53
KMDT,US/Eastern,155
KMDW,US/Central,1796
KMEB,US/Eastern,6
KMEH,US/Pacific,12
KMEI,US/Central,9
KMEM,US/Central,226
KMER,US/Pacific,108
KMEZ,US/Central,2
KMFD,US/Eastern,26
KMFE,US/Central,2
KMFI,US/Central,3
KMFR,US/Pacific,182
KMFV,US/Eastern,7
KMGC,US/Central,17
KMGE,US/Eastern,223
KMGG,US/Central,72
KMGJ,US/Eastern,40
KMGM,US/Central,10
KMGW,US/Eastern,35
KMGY,US/Eastern,351
KMHR,US/Pacific,385
KMHS,US/Pacific,39
KMHT,US/Eastern,110
KMHV,US/Pacific,23
KMIA,US/Eastern,1099
KMIC,US/Central,803
KMIE,US/Eastern,36
KMIV,US/Eastern,30
KMIW,US/Central,4
KMJQ,US/Central,22
KMJX,US/Eastern,40
KMKC,US/Central,416
KMKE,US/Central,248
KMKG,US/Eastern,55
KMKJ,US/Eastern,32
KMKL,US/Central,10
KMKS,US/Eastern,62
KMKT,US/Central,87
KMKY,US/Eastern,7
KMLB,US/Eastern,68
KMLD,US/Mountain,31
KMLE,US/Central,613
KMLF,US/Mountain,31
KMLI,US/Central,14
KMLJ,US/Eastern,7
KMLP,US/Pacific,13
KMLS,US/Mountain,4
KMLU,US/Central,2
KMMH,US/Pacific,21
KMMI,US/Eastern,11
KMMK,US/Eastern,221
KMML,US/Central,13
KMMT,US/Eastern,29
KMMU,US/Eastern,177
KMMV,US/Pacific,72
KMNH,US/Mountain,63
KMNI,US/Eastern,49
KMNN,US/Eastern,16
KMOB,US/Central,45
KMOD,US/Pacific,353
KMOP,US/Eastern,4
KMOT,US/Central,2
KMPO,US/Eastern,78
KMPV,US/Eastern,7
KMQE,US/Eastern,91
KMQJ,US/Eastern,254
KMQS,US/Eastern,95
KMQY,US/Central,68
KMRB,US/Eastern,39
KMRC,US/Central,14
KMRJ,US/Central,5
KMRN,US/Eastern,14
KMRT,US/Eastern,22
KMRY,US/Pacific,69
KMSL,US/Central,9
KMSN,US/Central,124
KMSO,US/Mountain,63
KMSP,US/Central,1173
KMSS,US/Eastern,5
KMSV,US/Eastern,18
KMSY,US/Central,42
KMTC,US/Eastern,85
KMTH,US/Eastern,12
KMTJ,US/Mountain,3
KMTN,US/Eastern,212
KMTO,US/Central,5
KMTV,US/Eastern,22
KMTW,US/Central,7
KMUI,US/Eastern,80
KMUL,US/Eastern,17
KMUO,US/Mountain,5
KMUT,US/Central,4
KMVE,US/Central,7
KMVN,US/Central,2
KMWA,US/Central,7
KMWC,US/Central,372
KMWH,US/Pacific,5
KMWK,US/Eastern,15
KMWL,US/Central,6
KMWM,US/Central,19
KMWO,US/Eastern,18
KMXF,US/Central,219
KMXO,US/Central,5
KMYF,US/Pacific,280
KMYL,US/Mountain,6
KMYR,US/Eastern,173
KMYV,US/Pacific,117
KMZH,US/Central,15
KMZZ,US/Eastern,8
KN03,US/Eastern,9
KNAK,US/Eastern,92
KNBC,US/Eastern,81
KNBG,US/Central,10
KNBJ,US/Central,14
KNCA,US/Eastern,7
KNDZ,US/Central,19
KNEL,US/Eastern,4
KNEW,US/Central,153
KNFE,US/Eastern,3
KNFG,US/Pacific,122
KNFJ,US/Central,134
KNFL,US/Pacific,31
KNFW,US/Central,47
KNGU,US/Eastern,35
KNHZ,US/Eastern,24
KNID,US/Pacific,12
KNIP,US/Eastern,322
KNKA,US/Central,162
KNKX,US/Pacific,170
KNLC,US/Pacific,98
KNMM,US/Central,5
KNPA,US/Central,48
KNQA,US/Central,89
KNQX,US/Eastern,2
KNRB,US/Eastern,3
KNRS,US/Pacific,78
KNSE,US/Central,25
KNTU,US/Eastern,42
KNUI,US/Eastern,5
KNUQ,US/Pacific,142
KNUW,US/Pacific,7
KNXF,US/Pacific,38
KNXP,US/Pacific,2
KNYC,US/Eastern,529
KNYG,US/Eastern,78
KNYL,US/Mountain,10
KNZY,US/Pacific,10
KO22,US/Pacific,158
KO54,US/Pacific,7
KO69,US/Pacific,151
KO86,US/Pacific,6
KO87,US/Pacific,47
KOAJ,US/Eastern,6
KOAK,US/Pacific,653
KOBE,US/Eastern,23
KOCF,US/Eastern,194
KOCQ,US/Central,4
KOCW,US/Eastern,5
KODO,US/Central,2
KOEO,US/Central,32
KOFF,US/Central,173
KOFP,US/Eastern,535
KOGA,US/Mountain,2
KOGB,US/Eastern,151
KOGD,US/Mountain,218
KOGS,US/Eastern,2
KOJC,US/Central,197
KOKB,US/Pacific,37
KOKC,US/Central,410
KOKH,US/Pacific,32
KOKK,US/Central,10
KOKV,US/Eastern,122
KOKZ,US/Eastern,6
KOLE,US/Eastern,5
KOLM,US/Pacific,59
KOLU,US/Central,4
KOLV,US/Central,60
KOLZ,US/Central,3
KOMA,US/Central,428
KOMH,US/Eastern,17
KOMK,US/Pacific,2
KOMN,US/Eastern,23
KONA,US/Central,33
KONO,US/Mountain,75
KONP,US/Pacific,39
KONT,US/Pacific,510
KONZ,US/Eastern,26
KOOA,US/Central,3
KOPF,US/Eastern,984
KOPN,US/Eastern,24
KOQN,US/Eastern,349
KOQT,US/Eastern,36
KOQU,US/Eastern,21
KORB,US/Central,3
KORD,US/Central,1188
KORE,US/Eastern,10
KORF,US/Eastern,240
KORH,US/Eastern,147
KORL,US/Eastern,1031
KOSA,US/Central,3
KOSH,US/Central,7
KOSU,US/Eastern,292
KOTG,US/Central,23
KOTH,US/Pacific,97
KOTM,US/Central,6
KOUN,US/Central,19
KOVE,US/Pacific,93
KOVL,US/Central,7
KOWA,US/Central,21
KOWB,US/Central,7
KOWD,US/Eastern,160
KOWP,US/Central,2
KOXB,US/Eastern,16
KOXC,US/Eastern,170
KOXR,US/Pacific,142
KOZW,US/Eastern,53
KP08,US/Mountain,34
KP38,US/Pacific,14
KPAE,US/Pacific,519
KPAM,US/Central,32
KPAN,US/Mountain,20
KPAO,US/Pacific,168
KPBF,US/Central,11
KPBG,US/Eastern,6
KPBI,US/Eastern,258
KPCM,US/Eastern,70
KPCW,US/Eastern,25
KPCZ,US/Central,5
KPDK,US/Eastern,657
KPDT,US/Pacific,104
KPDX,US/Pacific,582
KPEA,US/Central,3
KPEO,US/Eastern,42
KPEX,US/Central,15
KPGA,US/Mountain,2
KPGD,US/Eastern,37
KPGV,US/Eastern,4
KPHD,US/Eastern,10
KPHF,US/Eastern,40
KPHL,US/Eastern,819
KPHN,US/Eastern,33
KPHX,US/Mountain,579
KPIA,US/Central,80
KPIB,US/Central,6
KPIE,US/Eastern,324
KPIH,US/Mountain,10
KPIT,US/Eastern,116
KPKB,US/Eastern,20
KPKD,US/Central,11
KPLN,US/Eastern,2
KPLU,US/Pacific,79
KPMD,US/Pacific,170
KPMP,US/Eastern,93
KPMV,US/Central,5
KPNE,US/Eastern,634
KPNM,US/Central,20
KPNS,US/Central,169
KPNT,US/Central,2
KPOC,US/Pacific,544
KPOU,US/Eastern,373
KPOV,US/Eastern,53
KPPO,US/Central,7
KPQL,US/Central,15
KPRB,US/Pacific,70
KPRC,US/Mountain,63
KPRN,US/Central,16
KPRO,US/Central,22
KPSC,US/Pacific,4
KPSF,US/Eastern,168
KPSK,US/Eastern,24
KPSM,US/Eastern,55
KPTB,US/Eastern,75
KPTK,US/Eastern,279
KPTV,US/Pacific,95
KPTW,US/Eastern,370
KPUB,US/Mountain,56
KPUC,US/Mountain,44
KPUJ,US/Eastern,16
KPUM,US/Mountain,4
KPUW,US/Pacific,9
KPVC,US/Eastern,2
KPVD,US/Eastern,366
KPVF,US/Pacific,203
KPVG,US/Eastern,94
KPVU,US/Mountain,318
KPWA,US/Central,470
KPWC,US/Central,7
KPWK,US/Central,765
KPWM,US/Eastern,40
KPWT,US/Pacific,72
KPYM,US/Eastern,25
KRAC,US/Central,35
KRAL,US/Pacific,555
KRBD,US/Central,587
KRBG,US/Pacific,96
KRBL,US/Pacific,64
KRBW,US/Eastern,104
KRCE,US/Central,32
KRCM,US/Central,3
KRCZ,US/Eastern,3
KRDD,US/Pacific,115
KRDG,US/Eastern,130
KRDK,US/Central,2
KRDM,US/Pacific,155
KRDU,US/Eastern,2074
KRFD,US/Central,46
KRGK,US/Central,14
KRHI,US/Central,4
KRHP,US/Eastern,3
KRHV,US/Pacific,188
KRIC,US/Eastern,558
KRIL,US/Mountain,15
KRIV,US/Pacific,233
KRJD,US/Eastern,60
KRKS,US/Mountain,4
KRME,US/Eastern,191
KRMG,US/Eastern,10
KRMN,US/Eastern,72
KRMY,US/Eastern,21
KRND,US/Central,55
KRNH,US/Central,7
KRNM,US/Pacific,92
KRNO,US/Pacific,237
KRNP,US/Eastern,11
KRNT,US/Pacific,218
KROA,US/Eastern,139
KROC,US/Eastern,1017
KROG,US/Central,4
KROS,US/Central,52
KRPJ,US/Central,8
KRQB,US/Eastern,2
KRQE,US/Mountain,21
KRSN,US/Central,2
KRSP,US/Eastern,23
KRST,US/Central,11
KRSW,US/Eastern,221
KRTS,US/Pacific,80
KRUE,US/Central,10
KRUQ,US/Eastern,25
KRUT,US/Eastern,5
KRVS,US/Central,294
KRWF,US/Central,11
KRWI,US/Eastern,10
KRWL,US/Mountain,8
KRYN,US/Mountain,37
KRYT,US/Eastern,71
KRYV,US/Central,24
KRYW,US/Central,65
KRYY,US/Eastern,103
KRZL,US/Central,32
KRZN,US/Central,2
KRZR,US/Eastern,14
KRZZ,US/Eastern,9
KS14,US/Mountain,4
KS47,US/Pacific,109
KSAC,US/Pacific,606
KSAD,US/Mountain,15
KSAF,US/Mountain,4
KSAN,US/Pacific,338
KSAR,US/Central,3
KSAT,US/Central,239
KSAV,US/Eastern,59
KSAZ,US/Central,14
KSBA,US/Pacific,133
KSBD,US/Pacific,667
KSBM,US/Central,15
KSBN,US/Eastern,18
KSBO,US/Eastern,3
KSBP,US/Pacific,84
KSBS,US/Mountain,4
KSBY,US/Eastern,14
KSCH,US/Eastern,269
KSCK,US/Pacific,505
KSDB,US/Pacific,53
KSDF,US/Eastern,223
KSDL,US/Mountain,115
KSDM,US/Pacific,7
KSEA,US/Pacific,318
KSEE,US/Pacific,31
KSEG,US/Eastern,132
KSEZ,US/Mountain,42
KSFB,US/Eastern,102
KSFF,US/Pacific,130
KSFM,US/Eastern,9
KSFO,US/Pacific,335
KSFQ,US/Eastern,44
KSFZ,US/Eastern,257
KSGF,US/Central,144
KSGH,US/Eastern,27
KSGJ,US/Eastern,32
KSGR,US/Central,232
KSGS,US/Central,137
KSGT,US/Central,17
KSGU,US/Mountain,40
KSHD,US/Eastern,157
KSHN,US/Pacific,19
KSHR,US/Mountain,6
KSHV,US/Central,116
KSIF,US/Eastern,7
KSIY,US/Pacific,37
KSJC,US/Pacific,529
KSJN,US/Mountain,2
KSKA,US/Pacific,2
KSKF,US/Central,129
KSLB,US/Central,7
KSLC,US/Mountain,412
KSLE,US/Pacific,188
KSLG,US/Central,2
KSLI,US/Pacific,183
KSLK,US/Eastern,2
KSMF,US/Pacific,67
KSMO,US/Pacific,422
KSMP,US/Pacific,18
KSMQ,US/Eastern,137
KSMS,US/Eastern,53
KSMX,US/Pacific,72
KSNA,US/Pacific,757
KSNC,US/Eastern,64
KSNK,US/Central,3
KSNL,US/Central,10
KSNS,US/Pacific,165
KSNY,US/Mountain,3
KSOP,US/Eastern,14
KSOW,US/Mountain,19
KSPA,US/Eastern,510
KSPB,US/Pacific,43
KSPG,US/Eastern,128
KSPI,US/Central,15
KSPS,US/Central,5
KSQI,US/Central,7
KSQL,US/Pacific,201
KSRB,US/Central,21
KSRC,US/Central,4
KSRE,US/Central,2
KSRQ,US/Eastern,481
KSSC,US/Eastern,40
KSSF,US/Central,91
KSSI,US/Eastern,5
KSTC,US/Central,90
KSTE,US/Central,13
KSTJ,US/Central,7
KSTK,US/Mountain,6
KSTL,US/Central,444
KSTP,US/Central,669
KSTS,US/Pacific,340
KSUA,US/Eastern,76
KSUS,US/Central,133
KSUT,US/Eastern,5
KSUU,US/Pacific,106
KSUW,US/Central,12
KSUX,US/Central,30
KSVH,US/Eastern,56
KSVN,US/Eastern,50
KSWF,US/Eastern,217
KSWO,US/Central,3
KSXT,US/Pacific,129
KSYN,US/Central,40
KSYR,US/Eastern,311
KSZL,US/Central,4
KSZT,US/Pacific,2
KT62,US/Mountain,100
KT65,US/Central,2
KTAD,US/Mountain,14
KTAN,US/Eastern,37
KTBN,US/Central,4
KTBR,US/Eastern,6
KTCC,US/Mountain,3
KTCL,US/Central,181
KTCM,US/Pacific,220
KTCS,US/Mountain,3
KTDF,US/Eastern,5
KTDO,US/Pacific,28
KTDR,US/Central,2
KTDZ,US/Eastern,81
KTEB,US/Eastern,621
KTEW,US/Eastern,26
KTEX,US/Mountain,4
KTHA,US/Central,11
KTHV,US/Eastern,518
KTIK,US/Central,183
KTIW,US/Pacific,58
KTIX,US/Eastern,61
KTKC,US/Central,3
KTKI,US/Central,31
KTKV,US/Central,3
KTLH,US/Eastern,129
KTMA,US/Eastern,6
KTMB,US/Eastern,737
KTME,US/Central,22
KTNB,US/Eastern,6
KTNU,US/Central,22
KTOA,US/Pacific,114
KTOB,US/Central,26
KTOC,US/Eastern,16
KTOI,US/Central,19
KTOL,US/Eastern,27
KTOP,US/Central,3
KTPA,US/Eastern,207
KTPF,US/Eastern,179
KTPH,US/Pacific,4
KTPL,US/Central,3
KTQE,US/Central,11
KTRI,US/Eastern,69
KTRK,US/Pacific,100
KTRL,US/Central,9
KTSP,US/Pacific,73
KTTA,US/Eastern,85
KTTD,US/Pacific,188
KTTF,US/Eastern,38
KTTN,US/Eastern,283
KTTS,US/Eastern,19
KTUL,US/Central,361
KTUP,US/Central,6
KTUS,US/Mountain,171
KTVC,US/Eastern,2
KTVF,US/Central,2
KTVI,US/Eastern,13
KTVL,US/Pacific,50
KTWF,US/Mountain,7
KTXK,US/Central,11
KTYQ,US/Eastern,85
KTYR,US/Central,73
KTYS,US/Eastern,134
KTZR,US/Eastern,247
KU24,US/Mountain,76
KU28,US/Mountain,16
KU42,US/Mountain,658
KU78,US/Mountain,2
KUAO,US/Pacific,210
KUBE,US/Central,2
KUCP,US/Eastern,46
KUCY,US/Central,2
KUDG,US/Eastern,37
KUES,US/Central,69
KUGN,US/Central,878
KUIL,US/Pacific,4
KUKF,US/Eastern,11
KUKI,US/Pacific,161
KUKT,US/Eastern,103
KULM,US/Central,10
KUNI,US/Eastern,6
KUNU,US/Central,6
KUNV,US/Eastern,159
KUOX,US/Central,9
KUSE,US/Eastern,8
KUTA,US/Central,5
KUTS,US/Central,2
KUUU,US/Eastern,4
KUXL,US/Central,8
KUZA,US/Eastern,219
KVAD,US/Eastern,3
KVAY,US/Eastern,200
KVBT,US/Central,6
KVCB,US/Pacific,68
KVCT,US/Central,4
KVCV,US/Pacific,93
KVDF,US/Eastern,232
KVDI,US/Eastern,13
KVDW,US/Mountain,3
KVEL,US/Mountain,28
KVER,US/Central,2
KVES,US/Eastern,45
KVGT,US/Pacific,17
KVIH,US/Central,4
KVIS,US/Pacific,187
KVJI,US/Eastern,42
KVKS,US/Central,4
KVLD,US/Eastern,42
KVLL,US/Eastern,682
KVNC,US/Eastern,108
KVNY,US/Pacific,358
KVOK,US/Central,10
KVPC,US/Eastern,15
KVPS,US/Central,13
KVPZ,US/Central,22
KVQQ,US/Eastern,71
KVRB,US/Eastern,20
KVSF,US/Eastern,4
KVSH,US/Central,44
KVTA,US/Eastern,31
KVTI,US/Central,5
KVTP,US/Mountain,11
KVUO,US/Pacific,136
KVVG,US/Eastern,196
KVWU,US/Central,2
KVYS,US/Central,13
KW22,US/Eastern,2
KW29,US/Eastern,32
KWAL,US/Eastern,11
KWBC,US/Eastern,118
KWDR,US/Eastern,41
KWHP,US/Pacific,224
KWJF,US/Pacific,67
KWMC,US/Pacific,14
KWRB,US/Eastern,27
KWRI,US/Eastern,32
KWST,US/Eastern,25
KWVI,US/Pacific,244
KWVL,US/Eastern,6
KWWD,US/Eastern,21
KXFL,US/Eastern,93
KXLL,US/Eastern,76
KXMR,US/Eastern,14
KXSA,US/Eastern,17
KXVG,US/Central,6
KXVW,US/Pacific,6
KY19,US/Central,2
KY50,US/Central,5
KY51,US/Central,4
KY63,US/Central,21
KY70,US/Eastern,21
KYIP,US/Eastern,214
KYKM,US/Pacific,2
KYNG,US/Eastern,31
KZPH,US/Eastern,56
KZZV,US/Eastern,24
