Airport_Code,Timezone,Ocorrencias,Airport_Name
KFHU,US/Mountain,2,Sierra Vista Municipal Airport / Libby Army Air Field
KFIG,US/Eastern,108,Clearfield Lawrence Airport
KFIT,US/Eastern,44,Fitchburg Municipal Airport
KFKA,US/Central,23,Fillmore County Airport
KFKL,US/Eastern,24,Venango Regional Airport
KFKN,US/Eastern,20,Franklin Regional Airport
KFKS,US/Eastern,2,Frankfort Dow Memorial Field
KFLD,US/Central,9,Fond du Lac County Airport
KFLG,US/Mountain,61,Flagstaff Pulliam International Airport
KFLL,US/Eastern,272,Fort Lauderdale Hollywood International Airport
KFLO,US/Eastern,176,Florence Regional Airport
KFLY,US/Mountain,4,Meadow Lake Airport
KFME,US/Eastern,155,Tipton Airport
KFMH,US/Eastern,14,Cape Cod Coast Guard Air Station
KFMM,US/Mountain,10,Fort Morgan Municipal Airport
KFMY,US/Eastern,170,Page Field
KFNL,US/Mountain,95,Northern Colorado Regional Airport
KFNT,US/Eastern,2308,Bishop International Airport
KFOD,US/Central,2,Fort Dodge Regional Airport
KFOK,US/Eastern,27,Francis S Gabreski Airport
KFOT,US/Pacific,19,Rohnerville Airport
KFPK,US/Eastern,15,Fitch H Beach Airport
KFPR,US/Eastern,25,St Lucie County International Airport
KFQD,US/Eastern,22,Rutherford County Marchman Field
KFRG,US/Eastern,560,Republic Airport
KFRM,US/Central,18,Fairmont Municipal Airport
KFSD,US/Central,5,Sioux Falls Regional Airport / Joe Foss Field
KFSE,US/Central,6,Fosston Municipal Airport-Anderson Field
KFSK,US/Central,2,Fort Scott Municipal Airport
KFSM,US/Central,22,Fort Smith Regional Airport
KFSO,US/Eastern,3,Franklin County State Airport
KFST,US/Central,3,Fort Stockton Pecos County Airport
KFTG,US/Mountain,4,Colorado Air and Space Port
KFTK,US/Eastern,4,Godman Army Air Field
KFTW,US/Central,78,Fort Worth Meacham International Airport
KFTY,US/Eastern,469,Fulton County Airport Brown Field
KFUL,US/Pacific,852,Fullerton Municipal Airport
KFVX,US/Eastern,43,Farmville Regional Airport
KFWA,US/Eastern,31,Fort Wayne International Airport
KFWD,US/Central,219,
KFWN,US/Eastern,22,Sussex Airport
KFWS,US/Central,124,Fort Worth Spinks Airport
KFXE,US/Eastern,175,Fort Lauderdale Executive Airport
KFYG,US/Central,18,Washington Regional Airport
KFYJ,US/Eastern,53,Middle Peninsula Regional Airport
KFYV,US/Central,12,Drake Field
KFZG,US/Eastern,2,Fitzgerald Municipal Airport
KFZY,US/Eastern,29,Oswego County Airport
KGAD,US/Central,23,Northeast Alabama Regional Airport
KGAI,US/Eastern,226,Montgomery County Airpark
KGBG,US/Central,4,Galesburg Municipal Airport
KGBN,US/Mountain,5,Gila Bend Air Force Auxiliary Airport
KGCD,US/Pacific,35,Grant County Regional Airport / Ogilvie Field
KGCM,US/Central,3,Claremore Regional Airport
KGCN,US/Mountain,3,Grand Canyon National Park Airport
KGDB,US/Central,9,Granite Falls Municipal Airport / Lenzen-Roe Memorial Field
KGDJ,US/Central,8,Granbury Regional Airport
KGDV,US/Mountain,8,Dawson Community Airport
KGED,US/Eastern,11,Delaware Coastal Airport
KGEG,US/Pacific,39,Spokane International Airport
KGEU,US/Mountain,257,Glendale Municipal Airport
KGEV,US/Eastern,5,Ashe County Airport
KGEZ,US/Eastern,22,Shelbyville Municipal Airport
KGFK,US/Central,5,Grand Forks International Airport
KGFL,US/Eastern,109,Floyd Bennett Memorial Airport
KGGE,US/Eastern,34,Georgetown County Airport
KGGG,US/Central,6,East Texas Regional Airport
KGGI,US/Central,11,Grinnell Regional Airport
KGGP,US/Eastern,3,Logansport Cass County Airport
KGGW,US/Mountain,2,Glasgow Valley County Airport Wokal Field
KGHG,US/Eastern,24,Marshfield Municipal George Harlow Field
KGHW,US/Central,2,Glenwood Municipal Airport
KGIF,US/Eastern,21,Winter Haven Regional Airport - Gilbert Field
KGJT,US/Mountain,20,Grand Junction Regional Airport
KGKJ,US/Eastern,7,Port Meadville Airport
KGKY,US/Central,69,Arlington Municipal Airport
KGLR,US/Eastern,2,Gaylord Regional Airport
KGLS,US/Central,7,Scholes International At Galveston Airport
KGLW,US/Central,7,Glasgow Municipal Airport
KGMU,US/Eastern,554,Greenville Downtown Airport
KGNT,US/Mountain,8,Grants-Milan Municipal Airport
KGNV,US/Eastern,87,Gainesville Regional Airport
KGOK,US/Central,6,Guthrie-Edmond Regional Airport
KGON,US/Eastern,66,Groton New London Airport
KGOO,US/Pacific,131,Nevada County Airport
KGOV,US/Eastern,3,Grayling Army Air Field
KGPH,US/Central,43,Midwest National Air Center Airport
KGPI,US/Mountain,48,Glacier Park International Airport
KGPM,US/Central,128,Grand Prairie Municipal Airport
KGPT,US/Central,7,Gulfport Biloxi International Airport
KGPZ,US/Central,36,Grand Rapids Itasca Co-Gordon Newstrom field
KGRB,US/Central,61,Austin Straubel International Airport
KGRD,US/Eastern,98,Greenwood County Airport
KGRF,US/Pacific,59,Gray Army Air Field
KGRR,US/Eastern,1319,Gerald R. Ford International Airport
KGSB,US/Eastern,5,Seymour Johnson Air Force Base
KGSH,US/Eastern,8,Goshen Municipal Airport
KGSO,US/Eastern,155,Piedmont Triad International Airport
KGSP,US/Eastern,331,Greenville Spartanburg International Airport
KGTB,US/Eastern,3,Wheeler Sack Army Air Field
KGTF,US/Mountain,17,Great Falls International Airport
KGTU,US/Central,15,Georgetown Executive Airport at Johnny Gantt Field
KGUP,US/Mountain,5,Gallup Municipal Airport
KGUS,US/Eastern,8,Grissom Air Reserve Base
KGVL,US/Eastern,30,Lee Gilmer Memorial Airport
KGVT,US/Central,2,Majors Airport
KGWB,US/Eastern,15,De Kalb County Airport
KGWW,US/Eastern,6,Wayne Executive Jetport
KGXA,US/Pacific,55,
KGXY,US/Mountain,11,Greeley–Weld County Airport
KGYH,US/Eastern,418,Donaldson Field Airport
KGYL,US/Central,38,Glencoe Municipal Airport
KGYR,US/Mountain,55,Phoenix Goodyear Airport
KGYY,US/Central,163,Gary Chicago International Airport
KGZH,US/Central,4,Evergreen Regional Airport/Middleton Field
KH21,US/Central,14,Camdenton Memorial Airport
KHAF,US/Pacific,22,Half Moon Bay Airport
KHAI,US/Eastern,12,Three Rivers Municipal Dr Haines Airport
KHAO,US/Eastern,129,Butler Co Regional Airport - Hogan Field
KHBG,US/Central,40,Hattiesburg Bobby L Chain Municipal Airport
KHBI,US/Eastern,15,Asheboro Regional Airport
KHCD,US/Central,17,Hutchinson Municipal Butler Field
KHDC,US/Central,26,Hammond Northshore Regional Airport
KHDN,US/Mountain,3,Yampa Valley Airport
KHEF,US/Eastern,129,Manassas Regional Airport/Harry P. Davis Field
KHEY,US/Central,4,Hanchey Army (Fort Rucker) Heliport
KHFD,US/Eastern,492,Hartford Brainard Airport
KHFF,US/Eastern,6,Mackall Army Air Field
KHFJ,US/Central,4,Monett Regional Airport
KHGR,US/Eastern,136,Hagerstown Regional Richard A Henson Field
KHHR,US/Pacific,803,Jack Northrop Field Hawthorne Municipal Airport
KHIB,US/Central,14,Range Regional Airport
KHIE,US/Eastern,4,Mount Washington Regional Airport
KHIF,US/Mountain,157,Hill Air Force Base
KHIO,US/Pacific,142,Portland Hillsboro Airport
KHJH,US/Central,3,Hebron Municipal Airport
KHJO,US/Pacific,78,Hanford Municipal Airport
KHKA,US/Central,4,Blytheville Municipal Airport
KHKS,US/Central,62,Hawkins Field
KHKY,US/Eastern,28,Hickory Regional Airport
KHLG,US/Eastern,28,Wheeling Ohio County Airport
KHLN,US/Mountain,33,Helena Regional Airport
KHLX,US/Eastern,49,Twin County Airport
KHMM,US/Mountain,17,
KHMZ,US/Eastern,34,Bedford County Airport
KHNB,US/Eastern,11,Huntingburg Airport
KHND,US/Pacific,5,Henderson Executive Airport
KHNR,US/Central,18,Harlan Municipal Airport
KHNZ,US/Eastern,14,Henderson Oxford Airport
KHOE,US/Eastern,3,Homerville Airport
KHOP,US/Central,2,Campbell Army Airfield (Fort Campbell)
KHOT,US/Central,17,Memorial Field Airport
KHOU,US/Central,274,William P Hobby Airport
KHPN,US/Eastern,1462,Westchester County Airport
KHQM,US/Pacific,11,Bowerman Airport
KHQU,US/Eastern,11,Thomson-McDuffie County Airport
KHQZ,US/Central,335,Mesquite Metro Airport
KHRI,US/Pacific,79,Hermiston Municipal Airport
KHRJ,US/Eastern,74,Harnett Regional Jetport Airport
KHRT,US/Central,35,Hurlburt Field
KHRX,US/Central,2,Hereford Municipal Airport
KHSA,US/Central,3,Stennis International Airport
KHSP,US/Eastern,51,Ingalls Field
KHST,US/Eastern,164,Homestead ARB Airport
KHSV,US/Central,29,Huntsville International Carl T Jones Field
KHTL,US/Eastern,6,Roscommon County - Blodgett Memorial Airport
KHTO,US/Eastern,6,Town of East Hampton Airport
KHTS,US/Eastern,43,Tri-State Airport / Milton J. Ferguson Field
KHUA,US/Central,140,Redstone Army Air Field
KHUF,US/Eastern,19,"Terre Haute Regional Airport, Hulman Field"
KHUM,US/Central,7,Houma Terrebonne Airport
KHVN,US/Eastern,195,Tweed New Haven Airport
KHVR,US/Mountain,7,Havre City County Airport
KHVS,US/Eastern,58,Hartsville Regional Airport
KHWD,US/Pacific,468,Hayward Executive Airport
KHWO,US/Eastern,483,North Perry Airport
KHWV,US/Eastern,50,Brookhaven Calabro Airport
KHWY,US/Eastern,33,Warrenton Fauquier Airport
KHXD,US/Eastern,29,Hilton Head Airport
KHYA,US/Eastern,14,Cape Cod Gateway Airport
KHYI,US/Central,19,San Marcos Regional Airport
KHYR,US/Central,2,Sawyer County Airport
KHYW,US/Eastern,128,Conway Horry County Airport
KHYX,US/Eastern,47,Saginaw County H.W. Browne Airport
KHZX,US/Central,8,Isedor Iverson Airport
KHZY,US/Eastern,13,Northeast Ohio Regional Airport
KI69,US/Eastern,58,Clermont County Airport
KI75,US/Central,12,Osceola Municipal Airport
KIAB,US/Central,8,McConnell Air Force Base
KIAD,US/Eastern,530,Washington Dulles International Airport
KIAG,US/Eastern,45,Niagara Falls International Airport
KIAH,US/Central,324,George Bush Intercontinental Houston Airport
KICL,US/Central,2,Schenck Field
KICT,US/Central,7,Wichita Eisenhower National Airport
KIDA,US/Mountain,5,Idaho Falls Regional Airport
KIDI,US/Eastern,12,Indiana County–Jimmy Stewart Airport
KIDV,US/Mountain,4,
KIER,US/Central,2,Natchitoches Regional Airport
KIFA,US/Central,7,Iowa Falls Municipal Airport
KIFP,US/Mountain,5,Laughlin Bullhead International Airport
KIGM,US/Mountain,22,Kingman Airport
KIGQ,US/Central,252,Lansing Municipal Airport
KIGX,US/Eastern,64,
KIIB,US/Central,2,Independence Municipal Airport
KIIY,US/Eastern,7,Washington Wilkes County Airport
KIJD,US/Eastern,74,Windham Airport
KIJX,US/Central,5,Jacksonville Municipal Airport
KIKK,US/Central,18,Greater Kankakee Airport
KIKV,US/Central,145,Ankeny Regional Airport
KIKW,US/Eastern,14,Jack Barstow Airport
KILG,US/Eastern,307,Wilmington Airport
KILM,US/Eastern,42,Wilmington International Airport
KILN,US/Eastern,27,Wilmington Airpark
KIMM,US/Eastern,40,Immokalee Regional Airport
KIMT,US/Central,3,Ford Airport
KIND,US/Eastern,373,Indianapolis International Airport
KINF,US/Eastern,19,Inverness Airport
KINJ,US/Central,7,Hillsboro Municipal Airport
KINK,US/Central,3,Winkler County Airport
KINL,US/Central,3,Falls International Airport
KINT,US/Eastern,94,Smith Reynolds Airport
KINW,US/Mountain,10,Winslow Lindbergh Regional Airport
KIOB,US/Eastern,5,Mount Sterling Montgomery County Airport
KIOW,US/Central,51,Iowa City Municipal Airport
KIPJ,US/Eastern,18,Lincolnton Lincoln County Regional Airport
KIPT,US/Eastern,123,Williamsport Regional Airport
KIRS,US/Eastern,12,Kirsch Municipal Airport
KISM,US/Eastern,303,Kissimmee Gateway Airport
KISO,US/Eastern,7,Kinston Regional Jetport At Stallings Field
KISP,US/Eastern,307,Long Island Mac Arthur Airport
KISW,US/Central,2,Alexander Field South Wood County Airport
KITH,US/Eastern,3,Ithaca Tompkins Regional Airport
KITR,US/Mountain,15,Kit Carson County Airport
KIWA,US/Mountain,46,Mesa Gateway Airport
KIWI,US/Eastern,2,Wiscasset Airport
KIXA,US/Eastern,11,Halifax-Northampton Regional Airport
KIXD,US/Central,48,New Century AirCenter Airport
KIYK,US/Pacific,18,Inyokern Airport
KIZA,US/Pacific,16,Santa Ynez Airport
KJAC,US/Mountain,3,Jackson Hole Airport
KJAN,US/Central,44,Jackson-Medgar Wiley Evers International Airport
KJAX,US/Eastern,162,Jacksonville International Airport
KJBR,US/Central,14,Jonesboro Municipal Airport
KJEF,US/Central,3,Jefferson City Memorial Airport
KJER,US/Mountain,11,Jerome County Airport
KJFK,US/Eastern,567,John F Kennedy International Airport
KJFX,US/Central,17,Walker County Airport Bevill Field
KJFZ,US/Eastern,12,Tazewell County Airport
KJGG,US/Eastern,35,Williamsburg Jamestown Airport
KJHW,US/Eastern,15,Chautauqua County-Jamestown Airport
KJKJ,US/Central,2,Moorhead Municipal Airport
KJLN,US/Central,4,Joplin Regional Airport
KJMR,US/Central,13,Mora Municipal Airport
KJMS,US/Central,5,Jamestown Regional Airport
KJNW,US/Pacific,31,
KJNX,US/Eastern,44,Johnston Regional Airport
KJOT,US/Central,80,Joliet Regional Airport
KJQF,US/Eastern,533,Concord-Padgett Regional Airport
KJRB,US/Eastern,421,Downtown Manhattan Heliport
KJST,US/Eastern,90,John Murtha Johnstown Cambria County Airport
KJVL,US/Central,57,Southern Wisconsin Regional Airport
KJWY,US/Central,12,Mid-Way Regional Airport
KJXN,US/Eastern,57,Jackson County Airport/Reynolds Field
KJYG,US/Central,8,St James Municipal Airport
KJYL,US/Eastern,8,Plantation Airpark
KJYM,US/Eastern,2,Hillsdale Municipal Airport
KJYO,US/Eastern,209,Leesburg Executive Airport
KJZI,US/Eastern,21,Charleston Executive Airport
KK22,US/Eastern,4,Big Sandy Regional Airport
KKLS,US/Pacific,60,Southwest Washington Regional Airport
KL35,US/Pacific,31,Big Bear City Airport
KL38,US/Central,47,Louisiana Regional Airport
KLAA,US/Mountain,6,Southeast Colorado Regional Airport
KLAF,US/Eastern,24,Purdue University Airport
KLAL,US/Eastern,30,Lakeland Linder International Airport
KLAN,US/Eastern,92,Capital City Airport
KLAR,US/Mountain,14,Laramie Regional Airport
KLAS,US/Pacific,11,Harry Reid International Airport
KLAX,US/Pacific,123,Los Angeles International Airport
KLBE,US/Eastern,132,Arnold Palmer Regional Airport
KLBF,US/Central,4,North Platte Regional Airport Lee Bird Field
KLBR,US/Central,3,Clarksville Red River City-J D Trissell Field
KLBT,US/Eastern,8,Lumberton Regional Airport
KLBX,US/Central,9,Texas Gulf Coast Regional Airport
KLCI,US/Eastern,36,Laconia Municipal Airport
KLCK,US/Eastern,82,Rickenbacker International Airport
KLCQ,US/Eastern,61,Lake City Gateway Airport
KLDJ,US/Eastern,504,Linden Airport
KLEB,US/Eastern,15,Lebanon Municipal Airport
KLEE,US/Eastern,64,Leesburg International Airport
KLEW,US/Eastern,11,Auburn Lewiston Municipal Airport
KLEX,US/Eastern,132,Blue Grass Airport
KLFI,US/Eastern,86,Langley Air Force Base
KLFK,US/Central,3,Angelina County Airport
KLFT,US/Central,147,Lafayette Regional Airport
KLGA,US/Eastern,1814,LaGuardia Airport
KLGB,US/Pacific,531,Long Beach Airport (Daugherty Field)
KLGC,US/Eastern,15,LaGrange Callaway Airport
KLGD,US/Pacific,79,La Grande/Union County Airport
KLGU,US/Mountain,5,Logan-Cache Airport
KLHM,US/Pacific,78,Lincoln Regional Karl Harder Field
KLHQ,US/Eastern,34,Fairfield County Airport
KLHW,US/Eastern,9,MidCoast Regional Airport at Wright Army Airfield
KLHX,US/Mountain,8,La Junta Municipal Airport
KLHZ,US/Eastern,171,Triangle North Executive Airport
KLIC,US/Mountain,10,Limon Municipal Airport
KLIT,US/Central,76,Bill & Hillary Clinton National Airport/Adams Field
KLJF,US/Central,11,Litchfield Municipal Airport
KLKR,US/Eastern,62,Lancaster County-Mc Whirter Field
KLKU,US/Eastern,18,Louisa County Airport / Freeman Field
KLKV,US/Pacific,20,Lake County Airport
KLLQ,US/Central,9,Monticello Municipal Ellis Field
KLMO,US/Mountain,29,Vance Brand Airport
KLMT,US/Pacific,145,Crater Lake-Klamath Regional Airport
KLNC,US/Central,37,Lancaster Airport
KLNK,US/Central,15,Lincoln Airport
KLNP,US/Eastern,5,Lonesome Pine Airport
KLNR,US/Central,2,Tri-County Regional Airport
KLNS,US/Eastern,774,Lancaster Airport
KLOL,US/Pacific,2,Derby Field
KLOM,US/Eastern,1235,Wings Field
KLOR,US/Central,7,Lowe AHP (Fort Rucker) Heliport
KLOT,US/Central,310,Lewis University Airport
KLOU,US/Eastern,268,Bowman Field
KLOZ,US/Eastern,4,London-Corbin Airport/Magee Field
KLPC,US/Pacific,22,Lompoc Airport
KLPR,US/Eastern,31,Lorain County Regional Airport
KLQK,US/Eastern,89,Pickens County Airport
KLRD,US/Central,2,Laredo International Airport
KLRF,US/Central,19,Little Rock Air Force Base
KLRJ,US/Central,2,Le Mars Municipal Airport
KLRO,US/Eastern,11,Mount Pleasant Regional Airport Faison Field
KLRU,US/Mountain,5,Las Cruces International Airport
KLSE,US/Central,25,La Crosse Regional Airport
KLSF,US/Eastern,7,Lawson Army Air Field
KLSV,US/Pacific,5,Nellis Air Force Base
KLUA,US/Eastern,81,Luray Caverns Airport
KLUF,US/Mountain,42,Luke Air Force Base
KLUK,US/Eastern,381,Cincinnati Municipal Airport Lunken Field
KLUM,US/Central,16,Menomonie Municipal Score Field
KLUX,US/Eastern,100,Laurens County Airport
KLVJ,US/Central,15,Pearland Regional Airport
KLVK,US/Pacific,483,Livermore Municipal Airport
KLVM,US/Mountain,50,Mission Field
KLVN,US/Central,104,Airlake Airport
KLVS,US/Mountain,5,Las Vegas Municipal Airport
KLWA,US/Eastern,17,South Haven Area Regional Airport
KLWB,US/Eastern,6,Greenbrier Valley Airport
KLWC,US/Central,3,Lawrence Municipal Airport
KLWD,US/Central,2,Lamoni Municipal Airport
KLWM,US/Eastern,243,Lawrence Municipal Airport
KLWS,US/Pacific,3,Lewiston Nez Perce County Airport
KLWT,US/Mountain,9,Lewistown Municipal Airport
KLWV,US/Central,2,Lawrenceville Vincennes International Airport
KLXL,US/Central,30,Little Falls-Morrison County-Lindbergh field
KLXT,US/Central,254,Lee's Summit Municipal Airport
KLXV,US/Mountain,21,Lake County Airport
KLYH,US/Eastern,61,Lynchburg Regional Airport - Preston Glenn Field
KLYV,US/Central,18,Quentin Aanenson Airfield - Luverne Municipal Airport
KLZK,US/Central,28,
KLZU,US/Eastern,127,Gwinnett County Briscoe Field
KM16,US/Central,15,John Bell Williams Airport
KM19,US/Central,4,Newport Regional Airport
KM30,US/Central,2,Metropolis Municipal Airport
KM46,US/Mountain,17,Colstrip Airport
KM89,US/Central,5,Dexter B Florence Memorial Field
KMAE,US/Pacific,155,Madera Municipal Airport
KMAI,US/Central,27,Marianna Municipal Airport
KMAN,US/Mountain,73,Nampa Municipal Airport
KMAO,US/Eastern,85,Marion County Airport
KMBS,US/Eastern,21,MBS International Airport
KMCC,US/Pacific,770,McClellan Airfield
KMCE,US/Pacific,109,Merced Regional Macready Field
KMCF,US/Eastern,42,MacDill Air Force Base
KMCI,US/Central,43,Kansas City International Airport
KMCJ,US/Central,1283,Salina Municipal Airport
KMCN,US/Eastern,72,Middle Georgia Regional Airport
KMCO,US/Eastern,534,Orlando International Airport
KMCW,US/Central,8,Mason City Municipal Airport
KMDD,US/Central,2,Midland Airpark
KMDQ,US/Central,53,Madison County Executive Airport-Tom Sharp Jr Field
KMDT,US/Eastern,155,Harrisburg International Airport
KMDW,US/Central,1796,Chicago Midway International Airport
KMEB,US/Eastern,6,Laurinburg Maxton Airport
KMEH,US/Pacific,12,
KMEI,US/Central,9,Key Field / Meridian Regional Airport
KMEM,US/Central,226,Memphis International Airport
KMER,US/Pacific,108,Castle Airport
KMEZ,US/Central,2,Mena Intermountain Municipal Airport
KMFD,US/Eastern,26,Mansfield Lahm Regional Airport
KMFE,US/Central,2,McAllen Miller International Airport
KMFI,US/Central,3,Marshfield Municipal Airport
KMFR,US/Pacific,182,Rogue Valley International Medford Airport
KMFV,US/Eastern,7,Accomack County Airport
KMGC,US/Central,17,Michigan City Municipal Airport
KMGE,US/Eastern,223,Dobbins Air Reserve Base
KMGG,US/Central,72,Maple Lake Municipal Airport
KMGJ,US/Eastern,40,Orange County Airport
KMGM,US/Central,10,Montgomery Regional (Dannelly Field) Airport
KMGW,US/Eastern,35,Morgantown Municipal Airport Walter L. (Bill) Hart Field
KMGY,US/Eastern,351,Dayton-Wright Brothers Airport
KMHR,US/Pacific,385,Sacramento Mather Airport
KMHS,US/Pacific,39,
KMHT,US/Eastern,110,Manchester-Boston Regional Airport
KMHV,US/Pacific,23,Mojave Airport
KMIA,US/Eastern,1099,Miami International Airport
KMIC,US/Central,803,Crystal Airport
KMIE,US/Eastern,36,Delaware County Johnson Field
KMIV,US/Eastern,30,Millville Municipal Airport
KMIW,US/Central,4,Marshalltown Municipal Airport
KMJQ,US/Central,22,Jackson Municipal Airport
KMJX,US/Eastern,40,Ocean County Airport
KMKC,US/Central,416,Charles B. Wheeler Downtown Airport
KMKE,US/Central,248,General Mitchell International Airport
KMKG,US/Eastern,55,Muskegon County Airport
KMKJ,US/Eastern,32,Mountain Empire Airport
KMKL,US/Central,10,McKellar-Sipes Regional Airport
KMKS,US/Eastern,62,Berkeley County Airport
KMKT,US/Central,87,Mankato Regional Airport
KMKY,US/Eastern,7,Marco Island Executive Airport
KMLB,US/Eastern,68,Melbourne Orlando International Airport
KMLD,US/Mountain,31,Malad City Airport
KMLE,US/Central,613,Millard Airport
KMLF,US/Mountain,31,Milford Municipal-Ben and Judy Briscoe Field
KMLI,US/Central,14,Quad City International Airport
KMLJ,US/Eastern,7,Baldwin County Regional Airport
KMLP,US/Pacific,13,
KMLS,US/Mountain,4,Miles City Airport - Frank Wiley Field
KMLU,US/Central,2,Monroe Regional Airport
KMMH,US/Pacific,21,Mammoth Yosemite Airport
KMMI,US/Eastern,11,McMinn County Airport
KMMK,US/Eastern,221,Meriden Markham Municipal Airport
KMML,US/Central,13,Southwest Minnesota Regional Airport - Marshall/Ryan Field
KMMT,US/Eastern,29,Mc Entire Joint National Guard Base
KMMU,US/Eastern,177,Morristown Municipal Airport
KMMV,US/Pacific,72,Mc Minnville Municipal Airport
KMNH,US/Mountain,63,
KMNI,US/Eastern,49,Santee Cooper Regional Airport
KMNN,US/Eastern,16,Marion Municipal Airport
KMOB,US/Central,45,Mobile Regional Airport
KMOD,US/Pacific,353,Modesto City Co-Harry Sham Field
KMOP,US/Eastern,4,Mount Pleasant Municipal Airport
KMOT,US/Central,2,Minot International Airport
KMPO,US/Eastern,78,Pocono Mountains Municipal Airport
KMPV,US/Eastern,7,Edward F Knapp State Airport
KMQE,US/Eastern,91,
KMQJ,US/Eastern,254,Indianapolis Regional Airport
KMQS,US/Eastern,95,Chester County G O Carlson Airport
KMQY,US/Central,68,Smyrna Airport
KMRB,US/Eastern,39,Eastern WV Regional Airport/Shepherd Field
KMRC,US/Central,14,Maury County Airport
KMRJ,US/Central,5,Iowa County Airport
KMRN,US/Eastern,14,Foothills Regional Airport
KMRT,US/Eastern,22,Union County Airport
KMRY,US/Pacific,69,Monterey Peninsula Airport
KMSL,US/Central,9,Northwest Alabama Regional Airport
KMSN,US/Central,124,Dane County Regional Truax Field
KMSO,US/Mountain,63,Missoula International Airport
KMSP,US/Central,1173,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
KMSS,US/Eastern,5,Massena International Airport Richards Field
KMSV,US/Eastern,18,Sullivan County International Airport
KMSY,US/Central,42,Louis Armstrong New Orleans International Airport
KMTC,US/Eastern,85,Selfridge Air National Guard Base Airport
KMTH,US/Eastern,12,The Florida Keys Marathon Airport
KMTJ,US/Mountain,3,Montrose Regional Airport
KMTN,US/Eastern,212,Martin State Airport
KMTO,US/Central,5,Coles County Memorial Airport
KMTV,US/Eastern,22,Blue Ridge Airport
KMTW,US/Central,7,Manitowoc County Airport
KMUI,US/Eastern,80,Muir Army Air Field (Fort Indiantown Gap) Airport
KMUL,US/Eastern,17,Spence Airport
KMUO,US/Mountain,5,Mountain Home Air Force Base
KMUT,US/Central,4,Muscatine Municipal Airport
KMVE,US/Central,7,Montevideo Chippewa County Airport
KMVN,US/Central,2,Mount Vernon Outland Airport
KMWA,US/Central,7,Veterans Airport of Southern Illinois
KMWC,US/Central,372,Lawrence J Timmerman Airport
KMWH,US/Pacific,5,Grant County International Airport
KMWK,US/Eastern,15,Mount Airy Surry County Airport
KMWL,US/Central,6,Mineral Wells Regional Airport
KMWM,US/Central,19,Windom Municipal Airport
KMWO,US/Eastern,18,Middletown Regional Airport
KMXF,US/Central,219,Maxwell Air Force Base
KMXO,US/Central,5,Monticello Regional Airport
KMYF,US/Pacific,280,Montgomery-Gibbs Executive Airport
KMYL,US/Mountain,6,McCall Municipal Airport
KMYR,US/Eastern,173,Myrtle Beach International Airport
KMYV,US/Pacific,117,Yuba County Airport
KMZH,US/Central,15,Moose Lake Carlton County Airport
KMZZ,US/Eastern,8,Marion Municipal Airport
KN03,US/Eastern,9,Cortland County Chase Field
KNAK,US/Eastern,92,
KNBC,US/Eastern,81,Beaufort MCAS - Merritt Field
KNBG,US/Central,10,New Orleans NAS JRB/Alvin Callender Field
KNBJ,US/Central,14,Naval Outlying Field Barin
KNCA,US/Eastern,7,MCAS New River / McCutcheon Field
